count,replicate,ordering_fraction,dimension_estimate,longest_chain
512,92,0.4973244863013699,2.0071510555562173,41
512,93,0.48077452299412915,2.052132280293952,43
512,94,0.4909720523483366,2.024262378649982,41
512,95,0.5088750611545988,1.9765102489001132,42
512,96,0.48890044031311153,2.0298836119653,41
512,97,0.5127736668297456,1.966301758667134,41
512,98,0.5077054794520548,1.9795857513804946,41
512,99,0.5027978228962818,1.9925568849884159,44
1024,0,0.5019550342130987,1.9947952505813547,56
1024,1,0.4884778989491691,2.0310326678274877,57
1024,2,0.5043682795698925,1.9883944201787283,59
1024,3,0.4920118523949169,2.021448583308508,61
1024,4,0.5060655700146628,1.9839081783932764,55
1024,5,0.5138666147360704,1.9634517005516752,57
1024,6,0.49941769000488756,2.0015535989916087,56
1024,7,0.5052713373655914,1.9860058799054583,55
1024,8,0.4928538153714565,2.019173883309262,57
1024,9,0.5079805107526881,1.978861994769921,66
1024,10,0.48523414589442815,2.0398822319589955,58
1024,11,0.5101207386363636,1.9732412463731654,63
1024,12,0.4942265395894428,2.0154723697620707,56
1024,13,0.48684361253665687,2.0354849786950244,58
1024,14,0.505626451001955,1.9850676186295741,63
1024,15,0.5077399499022482,1.9794950226480093,63
1024,16,0.5058211907380255,1.9845533263739596,60
1024,17,0.4937836021505376,2.0166657758286237,63
1024,18,0.5150140518084066,1.9604650770862433,57
1024,19,0.49483748778103614,2.013827793332064,60
1024,20,0.4977127627077224,2.006111243538725,61
1024,21,0.49982626160801563,2.000463371092381,56
1024,22,0.4930237353372434,2.0187152204746486,57
1024,23,0.49257697947214074,2.0199214330711195,57
1024,24,0.5125855327468231,1.9667928718069463,63
1024,25,0.5011264357282502,1.9969990546279741,61
1024,26,0.5089885752688172,1.9762120750350882,65
1024,27,0.49498640640273706,2.01342719116196,56
1024,28,0.49528615285923755,2.0126211633982405,59
1024,29,0.5045878390762464,1.9878133619845002,61
1024,30,0.5149758675464321,1.960564374795038,59
1024,31,0.4928538153714565,2.019173883309262,62
1024,32,0.5083069861925709,1.9780032930689357,59
1024,33,0.48900866019061584,2.0295894566690746,55
1024,34,0.5065142350928641,1.9827244169038545,60
1024,35,0.48674242424242425,2.0357610690268237,55
1024,36,0.49777003910068424,2.005957914871908,63
